subject,body,is_phishing
Newsletter Subscription,Thank you for your order #12345.,0
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Base radio owner,Suspended account. http://bank-secure.gq,1
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Tv whole,Payment declined. http://alert-now.cf,1
What mother executive drive,Click here to update. http://bank-secure.gq,1
Goal add sea free once,Password expires. http://bank-secure.gq,1
Social beat kid possible fund,Banking issue. http://doc-share.xyz/file.pdf,1
Ask candidate my,Unauthorized login. http://password-reset.tk,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Project Status,Thanks for subscribing to our newsletter!,0
Give always stuff,Suspended account. http://secure-update.xyz/login,1
Order Confirmation,"Dear customer, please find your invoice attached.",0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Poor money put,Invoice error. http://login-security.xyz,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
From now cost,Update required. http://confirm-user.ga,1
Realize consumer early third,Verify your account. http://alert-now.cf,1
Newspaper respond,Reset your password. http://bank-secure.gq,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Moment one environmental day listen,Urgent action required. http://bank-secure.gq,1
Consumer marriage PM,Reset your password. http://secure-access.ml,1
About evening on,Unauthorized login. http://alert-now.cf,1
Current marriage,Login immediately. http://doc-share.xyz/file.pdf,1
Offer despite admit situation,Payment declined. http://alert-now.cf,1
Work yourself everybody,Banking issue. http://doc-share.xyz/file.pdf,1
Knowledge wind about state,Reset your password. http://bank-secure.gq,1
Meeting Reminder,Your support ticket has been resolved.,0
Debate week follow,Suspended account. http://secure-update.xyz/login,1
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Commercial goal,Banking issue. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Your support ticket has been resolved.,0
Rise mother reduce provide,Confirm your identity. http://password-reset.tk,1
Your Monthly Invoice,Thank you for your order #12345.,0
Simple us issue,Click here to update. http://login-security.xyz,1
Inside message,Login immediately. http://confirm-user.ga,1
Team Outing,"Dear customer, please find your invoice attached.",0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Method prevent according what,Document shared with you. http://secure-update.xyz/login,1
Despite economic,Payment declined. http://confirm-user.ga,1
Possible shoulder,Payment declined. http://secure-update.xyz/login,1
Really industry study,Urgent action required. http://bank-secure.gq,1
Benefit idea,Payment declined. http://doc-share.xyz/file.pdf,1
HR Policy Update,Thank you for your order #12345.,0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Democrat walk Republican seat look,Payment declined. http://secure-update.xyz/login,1
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Support reason series until authority,Verify your account. http://password-reset.tk,1
Himself every myself,Password expires. http://doc-share.xyz/file.pdf,1
Maintain success career,Login immediately. http://password-reset.tk,1
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Down himself kind,Verify your account. http://password-reset.tk,1
Sit just their ago,Payment declined. http://alert-now.cf,1
Package Delivery,Your support ticket has been resolved.,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Area whose eight,Update required. http://alert-now.cf,1
Team Outing,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Case sea represent institution,Suspended account. http://bank-secure.gq,1
Determine head Democrat you,Update required. http://doc-share.xyz/file.pdf,1
Check about term generation help,Verify your account. http://secure-access.ml,1
Strong street federal,Urgent action required. http://password-reset.tk,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Find east consider behavior,Security alert. http://secure-update.xyz/login,1
Way young up director thing,Update required. http://confirm-user.ga,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Already sort camera help arrive,Suspended account. http://login-security.xyz,1
About pretty matter subject free,Banking issue. http://login-security.xyz,1
Law smile,Login immediately. http://bank-secure.gq,1
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Six song note visit help,Urgent action required. http://doc-share.xyz/file.pdf,1
Yard floor money low,Payment declined. http://secure-update.xyz/login,1
Set compare middle type,Security alert. http://alert-now.cf,1
Former such,Click here to update. http://doc-share.xyz/file.pdf,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Your support ticket has been resolved.,0
Project Status,Please review the updated HR policy document.,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Newsletter Subscription,Thank you for your order #12345.,0
Package Delivery,Please review the updated HR policy document.,0
Right support so positive,Click here to update. http://login-security.xyz,1
Success region quickly structure,Document shared with you. http://alert-now.cf,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Design author agree actually check,Login immediately. http://secure-update.xyz/login,1
Recognize somebody,Login immediately. http://password-reset.tk,1
Couple reason arm,Suspended account. http://bank-secure.gq,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Please review the updated HR policy document.,0
Listen man democratic,Verify your account. http://alert-now.cf,1
Theory poor other,Click here to update. http://bank-secure.gq,1
Partner knowledge force,Urgent action required. http://secure-update.xyz/login,1
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Once guy trade,Urgent action required. http://doc-share.xyz/file.pdf,1
Meeting Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Property cell room,Confirm your identity. http://bank-secure.gq,1
Support Ticket Response,Please review the updated HR policy document.,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Timesheet Submission Reminder,Thank you for your order #12345.,0
HR Policy Update,Your support ticket has been resolved.,0
Community full,Invoice error. http://password-reset.tk,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Here is the latest status update on Project Apollo.,0
Force way loss,Confirm your identity. http://confirm-user.ga,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Such without difficult coach,Verify your account. http://doc-share.xyz/file.pdf,1
Think station smile,Banking issue. http://secure-update.xyz/login,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Consumer available,Password expires. http://login-security.xyz,1
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Decision trouble adult,Click here to update. http://password-reset.tk,1
Team Outing,Your support ticket has been resolved.,0
Decision alone research go cell,Update required. http://secure-update.xyz/login,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Heavy I air focus,Invoice error. http://confirm-user.ga,1
Later own read,Click here to update. http://bank-secure.gq,1
Draw area over,Invoice error. http://doc-share.xyz/file.pdf,1
